date,D,H,H2,H3,H4,SinD,CosD,T
1993-03-18,3.5200000000000005,63.839999999999996,4075.5455999999995,260182.83110399995,16610071.937679356,0.97,0.24,433
1993-03-29,3.5200000000000005,64.61,4174.4520999999995,269711.350181,17426050.33519441,1.0,0.06,444
1993-04-12,3.24,65.86999999999999,4338.856899999999,285800.50400299986,18825679.1986776,0.98,-0.18,458
1993-04-26,2.0500000000000007,69.23,4792.7929,331805.05246700003,22970863.782290414,0.91,-0.41,472
1993-05-11,2.6800000000000006,69.78999999999999,4870.644099999999,339922.2517389999,23723173.9488648,0.77,-0.63,487
1993-05-31,0.79,72.1,5198.409999999999,374805.3609999999,27023466.52809999,0.52,-0.86,507
1993-06-14,3.87,69.86,4880.4196,340946.113256,23818495.47206416,0.3,-0.95,521
1993-06-28,6.8100000000000005,66.22,4385.0884,290380.553848,19229000.27581456,0.06,-1.0,535
1993-07-13,7.86,66.36,4403.6496,292226.187456,19392129.79958016,-0.2,-0.98,550
1993-07-26,9.68,65.24,4256.257599999999,277678.2458239999,18115728.757557753,-0.41,-0.91,563
1993-08-09,11.57,62.65,3925.0225,245902.65962499997,15405801.625506248,-0.62,-0.79,577
1993-08-23,13.04,60.96999999999999,3717.340899999999,226646.27467299992,13818623.366812803,-0.79,-0.62,591
1993-09-06,13.739999999999998,61.10999999999999,3734.432099999999,228211.1456309999,13945983.109510403,-0.91,-0.41,605
1993-09-20,12.48,60.55,3666.3025,221994.61637499998,13441774.021506248,-0.98,-0.18,619
1993-10-04,10.66,59.709999999999994,3565.2840999999994,212883.11361099992,12711250.713712804,-1.0,0.06,633
1993-10-19,2.54,73.71,5433.164099999999,400478.5258109999,29519272.1375288,-0.95,0.31,648
1993-11-02,3.7300000000000004,69.64999999999999,4851.122499999999,337880.6821249999,23533389.510006238,-0.85,0.53,662
1993-11-15,4.92,66.43,4412.944900000001,293151.9297070001,19474082.690436017,-0.71,0.7,675
1993-11-29,4.57,65.16999999999999,4247.128899999999,276785.39041299984,18038103.893215194,-0.52,0.85,689
1993-12-14,2.54,67.61999999999999,4572.464399999999,309190.04272799985,20907430.68926735,-0.29,0.96,704
